Year_record,Interaction,Date,Troop,Observer,Time,GIVER,RECIPIENT,DOB_Recipient,DOB_Giver,Age_Giver,Age_Recipient,Month_record
2014,Grooming,02/07/2014,J,Miquel,1899-12-31 16:38:46,Harear,Addede,23/10/2005,NA,NA,104,7
2015,Grooming,16/07/2015,J,Charmaine,1899-12-31 06:46:51,ShRahe,Addede,23/10/2005,18/10/2010,56,116,7
2016,Grooming,13/08/2016,J,AJ,1899-12-31 10:27:37,Frwnre,Amlimb,23/07/2014,23/06/2006,121,24,8
2018,Grooming,09/12/2018,J,Jules,1899-12-31 17:16:05,Ethato,Amlimb,23/07/2014,15/12/2015,35,52,12
2017,Grooming,28/06/2017,J,AJ,1899-12-31 11:40:31,Muinuf,Amlimb,23/07/2014,14/10/2013,44,35,6
2019,Grooming,11/07/2019,J,Jules,1899-12-31 12:13:04,Ethato,Amlimb,23/07/2014,15/12/2015,42,59,7
2017,Grooming,08/07/2017,J,Axelle,1899-12-31 13:02:03,Ethato,Amlimb,23/07/2014,15/12/2015,18,35,7
2017,Grooming,20/08/2017,J,AJ,1899-12-31 08:01:39,Muinuf,Amlimb,23/07/2014,14/10/2013,46,36,8
2017,Grooming,13/08/2017,J,AJ,1899-12-31 07:18:16,Priare,Amlimb,23/07/2014,NA,NA,36,8
2019,Grooming,24/07/2019,J,Jules,1899-12-31 17:14:18,Ethato,Amlimb,23/07/2014,15/12/2015,43,60,7
2016,Grooming,15/07/2016,J,Dylan,1899-12-31 06:25:37,Doleoy,Amlimb,23/07/2014,01/06/2011,61,23,7
2019,Grooming,15/07/2019,J,Harrison,1899-12-31 17:03:38,Harear,Amlimb,23/07/2014,NA,NA,59,7
2017,Grooming,19/08/2017,J,Axelle,1899-12-31 11:38:41,Xenaen,Amlimb,23/07/2014,17/10/2014,34,36,8
2016,Grooming,08/08/2016,J,AJ,1899-12-31 09:34:51,Priare,Amlimb,23/07/2014,NA,NA,24,8
2017,Grooming,10/07/2017,J,Katie,1899-12-31 14:12:08,Pietik,Amlimb,23/07/2014,09/12/2014,31,35,7
2016,Grooming,18/07/2016,J,Dylan,1899-12-31 07:10:54,Priare,Amlimb,23/07/2014,NA,NA,23,7
2017,Grooming,25/07/2017,J,Axelle,1899-12-31 12:58:49,Xenaen,Amlimb,23/07/2014,17/10/2014,33,36,7
2018,Grooming,10/11/2018,J,Charlotte,1899-12-31 18:09:04,Ethato,Amlimb,23/07/2014,15/12/2015,34,51,11
2016,Grooming,17/08/2016,J,Dylan,1899-12-31 11:11:43,Ketsea,Amlimb,23/07/2014,31/01/2014,30,24,8
2016,Grooming,14/07/2016,J,Lucy,1899-12-31 16:27:55,Xenaen,Amlimb,23/07/2014,17/10/2014,20,23,7
2019,Grooming,18/04/2019,J,Jules,1899-12-31 15:42:47,Xenaen,Amlimb,23/07/2014,17/10/2014,54,56,4
2017,Grooming,13/08/2017,J,AJ,1899-12-31 11:20:00,Joceoy,Amlimb,23/07/2014,25/01/2011,78,36,8
2019,Grooming,15/06/2019,J,Jules,1899-12-31 15:52:11,Ethato,Amlimb,23/07/2014,15/12/2015,41,58,6
2017,Grooming,26/07/2017,J,Christine,1899-12-31 09:57:26,Ganeab,Amlimb,23/07/2014,NA,NA,36,7
2019,Grooming,15/07/2019,J,Jules,1899-12-31 07:37:30,Ethato,Amlimb,23/07/2014,15/12/2015,42,59,7
2019,Grooming,28/04/2019,J,Jules,1899-12-31 14:20:50,Hoonou,Amlimb,23/07/2014,15/09/2015,43,57,4
2016,Grooming,13/08/2016,J,AJ,1899-12-31 10:26:56,Priare,Amlimb,23/07/2014,NA,NA,24,8
2017,Grooming,22/08/2017,J,Alice,1899-12-31 14:06:16,Priare,Amlimb,23/07/2014,NA,NA,36,8
2018,Grooming,24/11/2018,J,Jules,1899-12-31 16:28:40,Byonyr,Amlimb,23/07/2014,20/11/2014,48,52,11
2016,Grooming,15/07/2016,J,Dylan,1899-12-31 15:20:08,Xenaen,Amlimb,23/07/2014,17/10/2014,20,23,7
2017,Grooming,19/08/2017,J,Axelle,1899-12-31 11:41:47,Ethato,Amlimb,23/07/2014,15/12/2015,20,36,8
2017,Grooming,23/08/2017,J,Aida,1899-12-31 08:44:22,Xenaen,Amlimb,23/07/2014,17/10/2014,34,37,8
2016,Grooming,16/08/2016,J,Dylan,1899-12-31 08:03:08,Xenaen,Amlimb,23/07/2014,17/10/2014,21,24,8
2018,Grooming,30/09/2018,J,Alice,1899-12-31 10:30:55,Xenaen,Amlimb,23/07/2014,17/10/2014,47,50,9
2016,Grooming,14/08/2016,J,Sarah,1899-12-31 12:48:31,Scpfch,Amlimb,23/07/2014,25/10/2011,57,24,8
2017,Grooming,16/07/2017,J,Debbie,1899-12-31 10:32:05,Priare,Amlimb,23/07/2014,NA,NA,35,7
2019,Grooming,21/04/2019,J,Tess,1899-12-31 09:08:58,Karial,Amlimb,23/07/2014,02/09/2013,67,56,4
2018,Grooming,04/11/2018,J,Charlotte,1899-12-31 07:16:51,Xenaen,Amlimb,23/07/2014,17/10/2014,48,51,11
2016,Grooming,15/07/2016,J,Dylan,1899-12-31 15:20:26,Ethato,Amlimb,23/07/2014,15/12/2015,6,23,7
2018,Grooming,23/10/2018,J,Charlotte,1899-12-31 12:56:43,Priare,Amlimb,23/07/2014,NA,NA,51,10
2016,Grooming,13/08/2016,J,Sarah,1899-12-31 07:25:33,Priare,Amlimb,23/07/2014,NA,NA,24,8
2017,Grooming,23/08/2017,J,Katie,1899-12-31 15:15:26,Yaraao,Amlimb,23/07/2014,16/04/2012,64,37,8
2017,Grooming,06/08/2017,J,AJ,1899-12-31 08:48:00,Hoerom,Amlimb,23/07/2014,18/10/2010,81,36,8
2017,Grooming,11/07/2017,J,AJ,1899-12-31 09:53:38,Priare,Amlimb,23/07/2014,NA,NA,35,7
2017,Grooming,15/07/2017,J,Alice,1899-12-31 15:13:03,Harear,Amlimb,23/07/2014,NA,NA,35,7
2017,Grooming,05/08/2017,J,Katie,1899-12-31 11:55:35,Ethato,Amlimb,23/07/2014,15/12/2015,19,36,8
2019,Grooming,19/05/2019,J,Jules,1899-12-31 08:39:11,Xenaen,Amlimb,23/07/2014,17/10/2014,55,57,5
2019,Grooming,15/06/2019,J,Jules,1899-12-31 08:30:47,Byonyr,Amlimb,23/07/2014,20/11/2014,54,58,6
2019,Grooming,25/06/2019,J,Harrison,1899-12-31 17:53:42,Setier,Amlimb,23/07/2014,14/12/2012,78,59,6
2016,Grooming,09/08/2016,J,Zoe,1899-12-31 08:10:36,Priare,Amlimb,23/07/2014,NA,NA,24,8
2018,Grooming,15/09/2018,J,Alice,1899-12-31 17:22:19,Auenus,Amlimb,23/07/2014,06/12/2010,93,49,9
2019,Grooming,19/05/2019,J,Jules,1899-12-31 10:09:38,Harear,Amlimb,23/07/2014,NA,NA,57,5
2017,Grooming,26/06/2017,J,AJ,1899-12-31 12:49:43,Setier,Amlimb,23/07/2014,14/12/2012,54,35,6
2017,Grooming,24/07/2017,J,Katie,1899-12-31 11:17:40,Mosaom,Amlimb,23/07/2014,13/02/2014,41,36,7
2016,Grooming,04/08/2016,J,Dylan,1899-12-31 16:23:17,Priare,Amlimb,23/07/2014,NA,NA,24,8
2019,Grooming,22/06/2019,J,Richard,1899-12-31 18:09:41,Ethato,Amlimb,23/07/2014,15/12/2015,42,58,6
2017,Grooming,26/06/2017,J,AJ,1899-12-31 12:30:59,Yaraao,Amlimb,23/07/2014,16/04/2012,62,35,6
2019,Grooming,10/06/2019,J,Harrison,1899-12-31 15:55:44,Xenaen,Amlimb,23/07/2014,17/10/2014,55,58,6
2019,Grooming,14/05/2019,J,Rachel,1899-12-31 15:30:32,Doleoy,Amlimb,23/07/2014,01/06/2011,95,57,5
2019,Grooming,12/06/2019,J,Ndapandula,1899-12-31 08:12:03,Anvont,Amlimb,23/07/2014,29/10/2013,67,58,6
2019,Grooming,23/06/2019,J,Jules,1899-12-31 16:10:31,Scpica,Anvont,29/10/2013,NA,NA,67,6
2014,Grooming,15/06/2014,J,Alice,1899-12-31 11:51:45,Scpica,Anvont,29/10/2013,NA,NA,7,6
2016,Grooming,27/07/2016,J,Molly,1899-12-31 12:29:28,Scpica,Anvont,29/10/2013,NA,NA,32,7
2018,Grooming,28/09/2018,J,Chloe,1899-12-31 17:18:22,Pietik,Anvont,29/10/2013,09/12/2014,45,58,9
2018,Grooming,30/09/2018,J,Chloe,1899-12-31 12:26:35,Scpfch,Anvont,29/10/2013,25/10/2011,83,59,9
2016,Grooming,04/08/2016,J,Dylan,1899-12-31 10:00:52,Scpica,Anvont,29/10/2013,NA,NA,33,8
2016,Grooming,08/08/2016,J,AJ,1899-12-31 06:27:35,ShRahe,Anvont,29/10/2013,18/10/2010,69,33,8
2019,Grooming,21/06/2019,J,Jules,1899-12-31 16:54:32,Trnsra,Anvont,29/10/2013,04/12/2016,30,67,6
2014,Grooming,03/07/2014,J,Andy,1899-12-31 12:18:55,Scpica,Anvont,29/10/2013,NA,NA,8,7
2017,Grooming,12/08/2017,J,Axelle,1899-12-31 11:17:29,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2016,Grooming,22/07/2016,J,Lucy,1899-12-31 09:38:00,Scpica,Anvont,29/10/2013,NA,NA,32,7
2016,Grooming,07/07/2016,J,AJ,1899-12-31 11:10:53,Scpica,Anvont,29/10/2013,NA,NA,32,7
2016,Grooming,11/07/2016,J,Molly,1899-12-31 09:13:19,Scpica,Anvont,29/10/2013,NA,NA,32,7
2017,Grooming,01/08/2017,J,Alice,1899-12-31 15:13:46,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2018,Grooming,14/10/2018,J,Remi,1899-12-31 12:23:38,Takaan,Anvont,29/10/2013,30/03/2015,42,59,10
2017,Grooming,20/08/2017,J,AJ,1899-12-31 08:54:17,Scpica,Anvont,29/10/2013,NA,NA,45,8
2019,Grooming,24/07/2019,J,Jules,1899-12-31 16:19:37,Takaan,Anvont,29/10/2013,30/03/2015,51,68,7
2019,Grooming,29/05/2019,J,Richard,1899-12-31 10:54:00,Molaog,Anvont,29/10/2013,18/04/2017,25,66,5
2017,Grooming,01/08/2017,J,AJ,1899-12-31 10:39:44,Toenol,Anvont,29/10/2013,05/08/2011,71,45,8
2017,Grooming,22/07/2017,J,Christine,1899-12-31 13:13:39,Scpica,Anvont,29/10/2013,NA,NA,44,7
2019,Grooming,31/05/2019,J,Jules,1899-12-31 10:44:59,Scpica,Anvont,29/10/2013,NA,NA,67,5
2016,Grooming,13/08/2016,J,Sarah,1899-12-31 07:06:50,Pietik,Anvont,29/10/2013,09/12/2014,20,33,8
2018,Grooming,07/10/2018,J,Nick,1899-12-31 17:11:05,Karial,Anvont,29/10/2013,02/09/2013,61,59,10
2019,Grooming,15/07/2019,J,Harrison,1899-12-31 12:57:13,Isrosh,Anvont,29/10/2013,07/10/2015,45,68,7
2018,Grooming,22/10/2018,J,Jules,1899-12-31 15:03:47,Ketsea,Anvont,29/10/2013,31/01/2014,56,59,10
2016,Grooming,06/07/2016,J,Elly,1899-12-31 11:41:10,Scpica,Anvont,29/10/2013,NA,NA,32,7
2017,Grooming,28/06/2017,J,AJ,1899-12-31 10:45:40,Pietik,Anvont,29/10/2013,09/12/2014,30,43,6
2019,Grooming,10/05/2019,J,Richard,1899-12-31 18:09:34,Scpfch,Anvont,29/10/2013,25/10/2011,90,66,5
2017,Grooming,20/08/2017,J,AJ,1899-12-31 09:03:17,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2018,Grooming,18/09/2018,J,Jules,1899-12-31 16:03:39,Scpica,Anvont,29/10/2013,NA,NA,58,9
2016,Grooming,14/08/2016,J,Sarah,1899-12-31 08:29:24,Scpica,Anvont,29/10/2013,NA,NA,33,8
2019,Grooming,03/05/2019,J,Anna,1899-12-31 11:34:42,Sesseu,Anvont,29/10/2013,15/09/2015,43,66,5
2018,Grooming,30/10/2018,J,Nick,1899-12-31 06:42:46,Scpica,Anvont,29/10/2013,NA,NA,60,10
2016,Grooming,10/08/2016,J,Dylan,1899-12-31 08:00:21,Scpica,Anvont,29/10/2013,NA,NA,33,8
2017,Grooming,24/07/2017,J,Debbie,1899-12-31 11:31:39,Mosaom,Anvont,29/10/2013,13/02/2014,41,44,7
2017,Grooming,06/08/2017,J,AJ,1899-12-31 08:46:12,Setier,Anvont,29/10/2013,14/12/2012,55,45,8
2016,Grooming,11/07/2016,J,Lucy,1899-12-31 11:59:01,Scpica,Anvont,29/10/2013,NA,NA,32,7
2019,Grooming,30/05/2019,J,Jules,1899-12-31 11:49:42,Trnsra,Anvont,29/10/2013,04/12/2016,29,66,5
2017,Grooming,13/08/2017,J,Alice,1899-12-31 10:33:44,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2016,Grooming,11/08/2016,J,AJ,1899-12-31 08:42:56,Scpica,Anvont,29/10/2013,NA,NA,33,8
2019,Grooming,24/06/2019,J,Tess,1899-12-31 12:18:18,Trnsra,Anvont,29/10/2013,04/12/2016,30,67,6
2016,Grooming,07/07/2016,J,Zoe,1899-12-31 08:10:50,Scpica,Anvont,29/10/2013,NA,NA,32,7
2017,Grooming,23/08/2017,J,Katie,1899-12-31 14:45:53,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2016,Grooming,21/07/2016,J,Dylan,1899-12-31 10:12:00,Pietik,Anvont,29/10/2013,09/12/2014,19,32,7
2016,Grooming,08/08/2016,J,AJ,1899-12-31 09:55:57,Scpica,Anvont,29/10/2013,NA,NA,33,8
2019,Grooming,27/04/2019,J,Anna,1899-12-31 15:32:09,Auenus,Anvont,29/10/2013,06/12/2010,100,65,4
2019,Grooming,23/04/2019,J,Rachel,1899-12-31 18:08:59,Auenus,Anvont,29/10/2013,06/12/2010,100,65,4
2017,Grooming,22/08/2017,J,Alice,1899-12-31 09:41:34,Harear,Anvont,29/10/2013,NA,NA,45,8
2016,Grooming,08/08/2016,J,AJ,1899-12-31 08:56:15,Scpica,Anvont,29/10/2013,NA,NA,33,8
2017,Grooming,09/08/2017,J,Christine,1899-12-31 15:11:45,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2016,Grooming,05/07/2016,J,AJ,1899-12-31 16:02:01,Scpica,Anvont,29/10/2013,NA,NA,32,7
2018,Grooming,26/10/2018,J,Vittoria,1899-12-31 18:52:46,Karial,Anvont,29/10/2013,02/09/2013,61,59,10
2018,Grooming,29/09/2018,J,Alice,1899-12-31 14:39:48,Sesseu,Anvont,29/10/2013,15/09/2015,36,59,9
2016,Grooming,20/08/2016,J,Dylan,1899-12-31 09:17:33,Scpfch,Anvont,29/10/2013,25/10/2011,57,33,8
2014,Grooming,11/07/2014,J,Nacho,1899-12-31 10:09:00,Scpica,Anvont,29/10/2013,NA,NA,8,7
2016,Grooming,12/08/2016,J,Zoe,1899-12-31 15:15:56,Scpfch,Anvont,29/10/2013,25/10/2011,57,33,8
2017,Grooming,05/08/2017,J,Katie,1899-12-31 09:41:36,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2017,Grooming,24/07/2017,J,Debbie,1899-12-31 12:39:52,Kisain,Anvont,29/10/2013,NA,NA,44,7
2016,Grooming,30/07/2016,J,AJ,1899-12-31 16:55:52,Scpfch,Anvont,29/10/2013,25/10/2011,57,33,7
2016,Grooming,13/08/2016,J,AJ,1899-12-31 16:55:46,Vigair,Anvont,29/10/2013,14/11/2012,44,33,8
2016,Grooming,18/08/2016,J,Elly,1899-12-31 12:25:40,Scpfch,Anvont,29/10/2013,25/10/2011,57,33,8
2017,Grooming,21/07/2017,J,Katie,1899-12-31 15:13:35,Scpfch,Anvont,29/10/2013,25/10/2011,68,44,7
2016,Grooming,17/08/2016,J,Dylan,1899-12-31 09:33:58,Scpica,Anvont,29/10/2013,NA,NA,33,8
2017,Grooming,25/07/2017,J,Katie,1899-12-31 09:20:05,Scpfch,Anvont,29/10/2013,25/10/2011,68,44,7
2017,Grooming,06/08/2017,J,AJ,1899-12-31 09:29:22,Pietik,Anvont,29/10/2013,09/12/2014,31,45,8
2019,Grooming,15/06/2019,J,Jules,1899-12-31 14:34:25,Takaan,Anvont,29/10/2013,30/03/2015,50,67,6
2016,Grooming,07/07/2016,J,AJ,1899-12-31 07:34:15,Scpica,Anvont,29/10/2013,NA,NA,32,7
2017,Grooming,25/07/2017,J,Katie,1899-12-31 13:12:27,Pietik,Anvont,29/10/2013,09/12/2014,31,44,7
2016,Grooming,11/08/2016,J,AJ,1899-12-31 09:49:03,Pietik,Anvont,29/10/2013,09/12/2014,20,33,8
2017,Grooming,06/08/2017,J,Katie,1899-12-31 13:28:13,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2019,Grooming,22/06/2019,J,Richard,1899-12-31 17:54:14,Nykayi,Anvont,29/10/2013,24/10/2017,19,67,6
2018,Grooming,12/09/2018,J,Jules,1899-12-31 12:08:05,Frwnre,Anvont,29/10/2013,23/06/2006,146,58,9
2019,Grooming,19/06/2019,J,Anna,1899-12-31 18:09:39,Ketsea,Anvont,29/10/2013,31/01/2014,64,67,6
2017,Grooming,25/08/2017,J,AJ,1899-12-31 10:17:28,Ethato,Anvont,29/10/2013,15/12/2015,20,45,8
2017,Grooming,12/08/2017,J,AJ,1899-12-31 10:28:02,Scpica,Anvont,29/10/2013,NA,NA,45,8
2017,Grooming,25/08/2017,J,AJ,1899-12-31 09:49:41,Ketsea,Anvont,29/10/2013,31/01/2014,42,45,8
2019,Grooming,09/06/2019,J,Harrison,1899-12-31 12:01:30,Muinuf,Anvont,29/10/2013,14/10/2013,67,67,6
2019,Grooming,09/06/2019,J,Harrison,1899-12-31 14:19:43,Xenaen,Anvont,29/10/2013,17/10/2014,55,67,6
2016,Grooming,24/08/2016,J,Sarah,1899-12-31 08:17:26,Scpica,Anvont,29/10/2013,NA,NA,33,8
2016,Grooming,30/07/2016,J,AJ,1899-12-31 12:34:30,Scpica,Anvont,29/10/2013,NA,NA,33,7
2014,Grooming,09/06/2014,J,Alice,1899-12-31 11:48:55,Scpica,Anvont,29/10/2013,NA,NA,7,6
2016,Grooming,13/08/2016,J,AJ,1899-12-31 08:11:55,Scpfch,Anvont,29/10/2013,25/10/2011,57,33,8
2017,Grooming,31/07/2017,J,Christine,1899-12-31 15:08:58,Mosaom,Anvont,29/10/2013,13/02/2014,41,45,7
2016,Grooming,13/07/2016,J,Zoe,1899-12-31 17:05:44,ShRahe,Anvont,29/10/2013,18/10/2010,68,32,7
2017,Grooming,16/08/2017,J,Alice,1899-12-31 09:11:51,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2019,Grooming,15/07/2019,J,Harrison,1899-12-31 12:57:02,Takaan,Anvont,29/10/2013,30/03/2015,51,68,7
2019,Grooming,27/05/2019,J,Jules,1899-12-31 14:51:22,Priare,Anvont,29/10/2013,NA,NA,66,5
2016,Grooming,13/08/2016,J,AJ,1899-12-31 16:43:58,Doleoy,Anvont,29/10/2013,01/06/2011,62,33,8
2019,Grooming,28/04/2019,J,Jules,1899-12-31 18:29:25,Ketsea,Anvont,29/10/2013,31/01/2014,62,65,4
2017,Grooming,01/08/2017,J,AJ,1899-12-31 09:14:24,Setier,Anvont,29/10/2013,14/12/2012,55,45,8
2018,Grooming,30/09/2018,J,Chloe,1899-12-31 08:59:26,Setier,Anvont,29/10/2013,14/12/2012,69,59,9
2019,Grooming,14/05/2019,J,Rachel,1899-12-31 15:35:58,Trnsra,Anvont,29/10/2013,04/12/2016,29,66,5
2019,Grooming,25/04/2019,J,Richard,1899-12-31 13:25:16,Sesseu,Anvont,29/10/2013,15/09/2015,43,65,4
2014,Grooming,14/06/2014,J,Agata,1899-12-31 09:27:05,Scpfch,Anvont,29/10/2013,25/10/2011,31,7,6
2016,Grooming,07/07/2016,J,AJ,1899-12-31 16:06:20,Scpica,Anvont,29/10/2013,NA,NA,32,7
2016,Grooming,14/07/2016,J,Sarah,1899-12-31 16:46:01,Scpica,Anvont,29/10/2013,NA,NA,32,7
2019,Grooming,17/07/2019,J,Rachel,1899-12-31 17:59:13,Scpica,Anvont,29/10/2013,NA,NA,68,7
2014,Grooming,28/06/2014,J,Alice,1899-12-31 12:28:46,Scpica,Anvont,29/10/2013,NA,NA,7,6
2018,Grooming,24/10/2018,J,Remi,1899-12-31 15:45:58,Scpfch,Anvont,29/10/2013,25/10/2011,83,59,10
2017,Grooming,05/08/2017,J,Alice,1899-12-31 10:29:34,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,8
2017,Grooming,23/07/2017,J,Christine,1899-12-31 14:54:19,Scpfch,Anvont,29/10/2013,25/10/2011,68,44,7
2018,Grooming,01/11/2018,J,Nick,1899-12-31 14:09:30,Dinsic,Anvont,29/10/2013,24/11/2008,119,60,11
2017,Grooming,30/07/2017,J,AJ,1899-12-31 16:29:21,Scpfch,Anvont,29/10/2013,25/10/2011,69,45,7
2014,Grooming,26/05/2014,J,Miquel,1899-12-31 10:53:49,Lukaus,Asovsi,18/10/2010,NA,NA,43,5
2014,Grooming,03/06/2014,J,Agata,1899-12-31 14:02:28,Lukaus,Asovsi,18/10/2010,NA,NA,43,6
2017,Grooming,15/07/2017,J,Alice,1899-12-31 14:23:59,ShRahe,Asovsi,18/10/2010,18/10/2010,80,80,7
2016,Grooming,17/08/2016,J,Dylan,1899-12-31 07:51:50,Scpfch,Asovsi,18/10/2010,25/10/2011,57,69,8
2016,Grooming,04/07/2016,J,Dylan,1899-12-31 06:29:17,Byonyr,Asovsi,18/10/2010,20/11/2014,19,68,7
2014,Grooming,04/06/2014,J,AJ,1899-12-31 11:58:01,Fildit,Asovsi,18/10/2010,18/10/2010,43,43,6
2016,Grooming,09/07/2016,J,Dylan,1899-12-31 16:36:09,Vigair,Asovsi,18/10/2010,14/11/2012,43,68,7
